time,pm2_5,temperature_2m,relative_humidity_2m,wind_u,wind_v,boundary_layer_height,precipitation,nitrogen_dioxide,hour_sin,hour_cos
2025-10-15T00:00,100.4,24.6,60,0.16934532691976725,0.6792070083931975,15.0,0.0,102.0,0.0,1.0
2025-10-15T01:00,99.9,24.3,59,-1.3471114790620887e-16,1.1,15.0,0.0,99.0,0.25881904510252074,0.9659258262890683
2025-10-15T02:00,98.0,24.3,59,-0.1693453269197674,0.6792070083931975,15.0,0.0,95.7,0.49999999999999994,0.8660254037844387
2025-10-15T03:00,96.4,23.9,60,-0.3564026096753472,0.1815961998958187,30.0,0.0,92.0,0.7071067811865476,0.7071067811865476
2025-10-15T04:00,95.9,23.2,62,4.898587196589413e-17,-0.2,55.0,0.0,87.9,0.8660254037844386,0.5000000000000001
2025-10-15T05:00,99.2,21.8,73,2.0098000068137227,-0.8948206147667596,55.0,0.0,90.5,0.9659258262890683,0.25881904510252074
2025-10-15T06:00,106.4,21.2,77,3.233592155403522,1.0506577808748216,40.0,0.0,90.0,1.0,6.123233995736766e-17
2025-10-15T07:00,118.3,22.6,71,3.564026096753471,1.8159619989581877,35.0,0.0,88.4,0.9659258262890683,-0.25881904510252063
2025-10-15T08:00,95.2,25.0,61,2.187429987478853,-0.7107390870623785,100.0,0.0,80.5,0.8660254037844387,-0.4999999999999998
2025-10-15T09:00,70.8,27.5,50,2.134650597807193,-0.5322281703192684,305.0,0.0,60.2,0.7071067811865476,-0.7071067811865475
2025-10-15T10:00,51.2,29.6,35,2.8783838397598336,-0.35342109587492826,1700.0,0.0,33.5,0.49999999999999994,-0.8660254037844387
2025-10-15T11:00,31.4,30.5,31,4.87315728730454,-0.5121894700114996,2080.0,0.0,13.7,0.258819045102521,-0.9659258262890682
2025-10-15T12:00,30.5,31.3,28,5.187333061351087,-0.36273366346945113,2140.0,0.0,6.6,1.2246467991473532e-16,-1.0
2025-10-15T13:00,31.2,31.8,28,5.4,9.919639073093561e-16,2220.0,0.0,6.3,-0.2588190451025208,-0.9659258262890683
2025-10-15T14:00,32.0,31.9,28,5.8,1.0654427152581972e-15,2245.0,0.0,8.5,-0.4999999999999997,-0.8660254037844388
2025-10-15T15:00,32.4,31.6,28,5.926130043570827,-0.938606790241384,2240.0,0.0,11.9,-0.7071067811865471,-0.7071067811865479
2025-10-15T16:00,33.4,30.9,29,5.346039145130208,-2.7239429984372796,2180.0,0.0,17.7,-0.8660254037844385,-0.5000000000000004
2025-10-15T17:00,38.3,29.5,33,0.18840944247459973,-3.595066325116466,295.0,0.0,25.9,-0.9659258262890683,-0.25881904510252063
2025-10-15T18:00,49.0,27.5,46,-1.2188143077363711,-1.9505106211597796,95.0,0.0,37.4,-1.0,-1.8369701987210297e-16
2025-10-15T19:00,56.3,27.2,48,-4.898587196589413e-17,0.4,25.0,0.0,53.2,-0.9659258262890684,0.2588190451025203
2025-10-15T20:00,61.5,26.4,46,-0.497422543533025,0.335515742082448,60.0,0.0,65.0,-0.8660254037844386,0.5000000000000001
2025-10-15T21:00,64.0,25.7,48,-1.0692078290260414,-0.5447885996874562,50.0,0.0,69.2,-0.7071067811865477,0.7071067811865474
2025-10-15T22:00,66.6,25.4,48,-1.4003706397458027,0.5375519243179504,55.0,0.0,69.4,-0.5000000000000004,0.8660254037844384
2025-10-15T23:00,65.2,24.2,58,-2.816687638038912e-16,2.3,25.0,0.0,68.0,-0.25881904510252157,0.9659258262890681
2025-10-16T00:00,63.3,23.1,64,1.643150469750618,3.090316575006244,25.0,0.0,64.9,0.0,1.0
2025-10-16T01:00,63.1,22.2,67,3.4434956121498153,1.830939094864974,25.0,0.0,60.2,0.25881904510252074,0.9659258262890683
2025-10-16T02:00,62.9,21.3,71,4.0,7.347880794884119e-16,30.0,0.0,56.2,0.49999999999999994,0.8660254037844387
2025-10-16T03:00,62.4,20.8,70,4.5179299709100995,1.2954955723398949,40.0,0.0,53.8,0.7071067811865476,0.7071067811865476
2025-10-16T04:00,61.5,20.3,70,4.888063846273139,-0.3418067213462136,55.0,0.0,52.1,0.8660254037844386,0.5000000000000001
2025-10-16T05:00,73.8,20.2,75,4.711810480548786,-0.9158831778074165,65.0,0.0,69.2,0.9659258262890683,0.25881904510252074
2025-10-16T06:00,71.9,20.5,72,4.3,7.898971854500428e-16,55.0,0.0,67.6,1.0,6.123233995736766e-17
2025-10-16T07:00,75.2,22.0,65,5.756767679519668,0.7068421917498535,50.0,0.0,64.7,0.9659258262890683,-0.25881904510252063
2025-10-16T08:00,68.7,24.6,57,3.5802788233257843,-0.37630246776355075,90.0,0.0,57.8,0.8660254037844387,-0.4999999999999998
2025-10-16T09:00,53.7,27.5,46,2.8670321550114712,-2.007517527228661,285.0,0.0,42.9,0.7071067811865476,-0.7071067811865475
2025-10-16T10:00,47.6,29.4,38,3.39787137637478,-2.4686980596283865,1510.0,0.0,24.0,0.49999999999999994,-0.8660254037844387
2025-10-16T11:00,43.5,30.3,34,4.176456994115625,-3.26300581922599,1585.0,0.0,10.1,0.258819045102521,-0.9659258262890682
2025-10-16T12:00,42.8,31.1,32,4.136639992842482,-3.4710530923073124,1565.0,0.0,5.1,1.2246467991473532e-16,-1.0
2025-10-16T13:00,43.8,31.5,32,4.449593469062211,-3.232818887608601,1735.0,0.0,5.0,-0.2588190451025208,-0.9659258262890683
2025-10-16T14:00,44.4,31.7,32,4.808417920819242,-3.243318840130333,1745.0,0.0,7.6,-0.4999999999999997,-0.8660254037844388
2025-10-16T15:00,45.2,31.4,33,5.160657879020648,-3.61353154901159,1745.0,0.0,11.6,-0.7071067811865471,-0.7071067811865479
2025-10-16T16:00,47.1,30.7,35,5.362307134053099,-4.342310698243879,1760.0,0.0,18.3,-0.8660254037844385,-0.5000000000000004
2025-10-16T17:00,46.9,29.5,36,5.421022142882376,-1.7613968679371992,470.0,0.0,25.2,-0.9659258262890683,-0.25881904510252063
2025-10-16T18:00,60.3,28.0,42,2.687005768508881,-2.6870057685088797,225.0,0.0,39.0,-1.0,-1.8369701987210297e-16
2025-10-16T19:00,69.6,27.0,50,1.4235782507653005,-3.1974091017491033,130.0,0.0,57.8,-0.9659258262890684,0.2588190451025203
2025-10-16T20:00,73.3,26.7,51,0.9008627491964485,-1.4416817634659238,75.0,0.0,70.1,-0.8660254037844386,0.5000000000000001
2025-10-16T21:00,73.3,26.4,53,0.5416335208368435,-0.7187719590425635,75.0,0.0,70.4,-0.7071067811865477,0.7071067811865474
2025-10-16T22:00,71.7,26.0,54,-0.18159619989581877,0.35640260967534715,55.0,0.0,64.3,-0.5000000000000004,0.8660254037844384
2025-10-16T23:00,68.5,25.8,56,0.1854101966249686,-0.570633909777092,75.0,0.0,57.2,-0.25881904510252157,0.9659258262890681
2025-10-17T00:00,64.3,25.2,56,0.7128052193506944,-0.3631923997916373,65.0,0.0,50.0,0.0,1.0
2025-10-17T01:00,62.4,24.0,59,1.5751713878545794,1.0624665165944185,40.0,0.0,42.0,0.25881904510252074,0.9659258262890683
2025-10-17T02:00,60.8,22.3,66,3.236092916415765,1.7937955949114464,35.0,0.0,36.0,0.49999999999999994,0.8660254037844387
2025-10-17T03:00,59.8,21.1,71,4.303849443228745,0.9148114395981432,35.0,0.0,33.1,0.7071067811865476,0.7071067811865476
2025-10-17T04:00,59.6,20.4,74,4.711810480548787,0.9158831778074141,45.0,0.0,32.3,0.8660254037844386,0.5000000000000001
2025-10-17T05:00,64.7,20.7,77,6.291366068953815,0.3297165243305491,70.0,0.0,33.0,0.9659258262890683,0.25881904510252074
2025-10-17T06:00,67.8,20.8,77,4.6421352007971475,-0.7352419856890842,60.0,0.0,37.8,1.0,6.123233995736766e-17
2025-10-17T07:00,73.8,22.0,71,5.2395969218903815,-1.3063782362382041,65.0,0.0,44.0,0.9659258262890683,-0.25881904510252063
2025-10-17T08:00,68.5,24.4,61,3.2335921554035223,-1.0506577808748205,125.0,0.0,45.0,0.8660254037844387,-0.4999999999999998
2025-10-17T09:00,57.3,27.2,50,3.090316575006245,-1.6431504697506165,265.0,0.0,36.0,0.7071067811865476,-0.7071067811865475
2025-10-17T10:00,50.4,29.5,45,2.5172815641993513,-3.1085838458278823,1095.0,0.0,21.8,0.49999999999999994,-0.8660254037844387
2025-10-17T11:00,45.1,30.6,39,4.171930009000632,-4.171930009000629,1520.0,0.0,11.0,0.258819045102521,-0.9659258262890682
2025-10-17T12:00,43.5,31.5,37,3.471053092307314,-4.13663999284248,1665.0,0.0,6.6,1.2246467991473532e-16,-1.0
2025-10-17T13:00,44.0,32.1,36,3.2693856872009652,-4.669166652447252,1860.0,0.0,5.5,-0.2588190451025208,-0.9659258262890683
2025-10-17T14:00,44.1,32.3,35,2.675987907879578,-5.032801279295884,1995.0,0.0,6.9,-0.4999999999999997,-0.8660254037844388
2025-10-17T15:00,44.4,32.1,35,1.7906248495143617,-5.200352165796243,2030.0,0.0,10.6,-0.7071067811865471,-0.7071067811865479
2025-10-17T16:00,46.0,31.4,36,1.0766187015349684,-6.10580806867569,1975.0,0.0,16.7,-0.8660254037844385,-0.5000000000000004
2025-10-17T17:00,51.5,30.1,39,2.2065163450936867,-4.149853686436957,545.0,0.0,26.2,-0.9659258262890683,-0.25881904510252063
2025-10-17T18:00,65.4,28.4,49,2.3403318451813453,-2.1823947521999956,240.0,0.0,42.3,-1.0,-1.8369701987210297e-16
2025-10-17T19:00,77.3,27.5,53,3.0760374270026203,-0.8820395386143981,155.0,0.0,64.4,-0.9659258262890684,0.2588190451025203
2025-10-17T20:00,85.9,27.0,55,2.4939101256495606,-0.17439118436031303,105.0,0.0,79.4,-0.8660254037844386,0.5000000000000001
2025-10-17T21:00,92.0,26.2,55,2.0098000068137223,0.8948206147667603,55.0,0.0,81.5,-0.7071067811865477,0.7071067811865474
2025-10-17T22:00,92.0,25.1,57,3.800043252662417,0.8773091119410744,60.0,0.0,76.7,-0.5000000000000004,0.8660254037844384
2025-10-17T23:00,86.6,24.8,62,3.5859407992715226,1.987719443009981,65.0,0.0,69.6,-0.25881904510252157,0.9659258262890681
2025-10-18T00:00,82.2,24.6,63,3.595066325116466,-0.1884094424745982,55.0,0.0,60.3,0.0,1.0
2025-10-18T01:00,79.6,23.9,65,3.39787137637478,-2.4686980596283865,55.0,0.0,48.7,0.25881904510252074,0.9659258262890683
2025-10-18T02:00,77.8,23.2,69,3.5900941872211876,-0.8951110137187696,45.0,0.0,40.1,0.49999999999999994,0.8660254037844387
2025-10-18T03:00,76.6,22.5,71,3.7301832971011226,-0.7250741824308714,40.0,0.0,36.4,0.7071067811865476,0.7071067811865476
2025-10-18T04:00,75.9,21.7,75,3.456909192082982,-0.5475206276408073,40.0,0.0,35.7,0.8660254037844386,0.5000000000000001
2025-10-18T05:00,90.8,21.7,80,4.303849443228745,0.9148114395981432,55.0,0.0,59.2,0.9659258262890683,0.25881904510252074
2025-10-18T06:00,91.5,21.6,79,4.6971368869897505,-0.16402763450175603,70.0,0.0,60.3,1.0,6.123233995736766e-17
2025-10-18T07:00,96.6,22.4,75,4.8523135368336945,0.6819481947043226,90.0,0.0,61.1,0.9659258262890683,-0.25881904510252063
2025-10-18T08:00,87.5,24.6,64,3.0768930700880985,0.37779496455595624,135.0,0.0,57.2,0.8660254037844387,-0.4999999999999998
2025-10-18T09:00,73.1,27.4,52,3.4,6.245698675651501e-16,300.0,0.0,43.8,0.7071067811865476,-0.7071067811865475
2025-10-18T10:00,61.2,29.6,44,3.7947922320673806,-0.19887663372318698,925.0,0.0,25.7,0.49999999999999994,-0.8660254037844387
2025-10-18T11:00,53.0,30.9,38,3.268289766190284,-0.9371670097777979,1645.0,0.0,12.2,0.258819045102521,-0.9659258262890682
2025-10-18T12:00,50.8,32.2,34,2.1729143493093033,-0.3441558230885075,2130.0,0.0,7.1,1.2246467991473532e-16,-1.0
2025-10-18T13:00,49.6,32.9,31,1.0606601717798212,1.0606601717798214,2380.0,0.0,6.5,-0.2588190451025208,-0.9659258262890683
2025-10-18T14:00,49.4,33.2,30,0.5322281703192686,2.1346505978071924,2475.0,0.0,8.8,-0.4999999999999997,-0.8660254037844388
2025-10-18T15:00,50.2,33.2,29,-1.111012477946399,3.633958072659535,2510.0,0.0,12.5,-0.7071067811865471,-0.7071067811865479
2025-10-18T16:00,51.8,32.4,30,-2.4969477485675076,4.900535883036023,2345.0,0.0,19.1,-0.8660254037844385,-0.5000000000000004
2025-10-18T17:00,56.2,30.8,32,-0.726950774511971,1.0777488443215542,100.0,0.0,29.0,-0.9659258262890683,-0.25881904510252063
2025-10-18T18:00,72.6,28.7,44,1.4474368994146265,1.7874357113510326,110.0,0.0,51.5,-1.0,-1.8369701987210297e-16
2025-10-18T19:00,86.1,28.1,50,1.2830062863787124,1.1153003492838622,80.0,0.0,82.6,-0.9659258262890684,0.2588190451025203
2025-10-18T20:00,98.5,27.6,51,1.0606601717798214,-1.060660171779821,80.0,0.0,106.4,-0.8660254037844386,0.5000000000000001
2025-10-18T21:00,109.0,27.1,53,1.0777488443215542,-0.7269507745119711,45.0,0.0,115.6,-0.7071067811865477,0.7071067811865474
2025-10-18T22:00,118.3,27.2,55,0.6792070083931976,-0.1693453269197672,30.0,0.0,117.5,-0.5000000000000004,0.8660254037844384
2025-10-18T23:00,125.3,26.9,56,0.1717280958388902,-0.8834644651028976,60.0,0.0,117.8,-0.25881904510252157,0.9659258262890681
2025-10-19T00:00,128.1,25.8,59,1.1,2.0206672185931328e-16,50.0,0.0,118.3,0.0,1.0
2025-10-19T01:00,128.1,24.8,63,1.4888192274619831,0.18280401510772076,40.0,0.0,117.3,0.25881904510252074,0.9659258262890683
2025-10-19T02:00,129.0,23.9,67,1.2990381056766578,0.7500000000000007,30.0,0.0,115.0,0.49999999999999994,0.8660254037844387
2025-10-19T03:00,129.5,23.2,69,1.4539015490239415,2.1554976886431088,30.0,0.0,110.9,0.7071067811865476,0.7071067811865476
2025-10-19T04:00,128.1,23.3,70,0.49742254353302506,0.33551574208244794,15.0,0.0,105.5,0.8660254037844386,0.5000000000000001
2025-10-19T05:00,108.0,23.0,76,-0.7321259575364404,-1.6443818237566816,40.0,0.0,80.2,0.9659258262890683,0.25881904510252074
2025-10-19T06:00,112.7,23.7,72,-0.5416335208368435,-0.7187719590425635,40.0,0.0,79.9,1.0,6.123233995736766e-17
